Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	35
Calibration Coefficients:Elapsed Real Time:	85841.32
Elapsed Live Time:	85840.94
Start Time:	April 10, 2019, 02:18:41
End Time:	April 11, 2019, 02:09:22
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	1	1023	8558	7022	0	303

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		77
28		112
29		101
30		97
31		86
32		83
33		73
34		67
35		60
36		76
37		58
38		70
39		65
40		61
41		53
42		49
43		48
44		60
45		48
46		37
47		58
48		39
49		47
50		32
51		43
52		37
53		36
54		42
55		45
56		48
57		38
58		38
59		39
60		26
61		29
62		39
63		39
64		32
65		33
66		36
67		28
68		34
69		31
70		23
71		28
72		21
73		28
74		24
75		26
76		37
77		31
78		14
79		28
80		19
81		20
82		20
83		21
84		19
85		19
86		19
87		24
88		25
89		19
90		20
91		15
92		23
93		24
94		18
95		18
96		29
97		17
98		16
99		24
100		18
101		18
102		24
103		23
104		20
105		14
106		21
107		17
108		20
109		17
110		25
111		18
112		16
113		23
114		16
115		15
116		20
117		16
118		21
119		21
120		26
121		23
122		15
123		17
124		18
125		21
126		19
127		24
128		24
129		22
130		13
131		20
132		15
133		18
134		15
135		21
136		27
137		20
138		19
139		12
140		16
141		20
142		16
143		16
144		18
145		23
146		17
147		10
148		26
149		22
150		13
151		13
152		14
153		13
154		15
155		15
156		3
157		15
158		16
159		12
160		14
161		13
162		14
163		22
164		16
165		23
166		16
167		15
168		19
169		10
170		21
171		10
172		13
173		9
174		9
175		12
176		9
177		10
178		17
179		11
180		20
181		15
182		14
183		15
184		15
185		16
186		23
187		16
188		18
189		15
190		12
191		21
192		13
193		16
194		17
195		11
196		10
197		14
198		10
199		11
200		6
201		10
202		10
203		9
204		20
205		13
206		15
207		9
208		13
209		11
210		12
211		4
212		7
213		15
214		8
215		7
216		9
217		12
218		9
219		8
220		11
221		10
222		6
223		4
224		10
225		10
226		10
227		12
228		12
229		8
230		11
231		6
232		7
233		9
234		9
235		11
236		9
237		10
238		12
239		4
240		5
241		7
242		7
243		6
244		11
245		10
246		8
247		11
248		7
249		10
250		6
251		10
252		11
253		3
254		6
255		10
256		5
257		8
258		6
259		9
260		3
261		6
262		9
263		10
264		11
265		7
266		7
267		10
268		10
269		8
270		6
271		5
272		13
273		7
274		4
275		10
276		13
277		9
278		4
279		14
280		5
281		8
282		4
283		5
284		5
285		6
286		7
287		4
288		3
289		5
290		5
291		8
292		6
293		5
294		4
295		3
296		7
297		6
298		6
299		3
300		8
301		9
302		9
303		5
304		6
305		7
306		10
307		3
308		4
309		8
310		6
311		12
312		5
313		3
314		6
315		10
316		5
317		7
318		4
319		11
320		4
321		8
322		5
323		5
324		4
325		6
326		6
327		4
328		6
329		5
330		9
331		4
332		7
333		8
334		3
335		7
336		5
337		7
338		4
339		4
340		5
341		5
342		4
343		5
344		4
345		3
346		4
347		4
348		5
349		7
350		1
351		5
352		8
353		4
354		4
355		5
356		4
357		4
358		8
359		6
360		9
361		4
362		7
363		5
364		4
365		7
366		5
367		4
368		6
369		7
370		2
371		6
372		4
373		3
374		6
375		9
376		5
377		4
378		3
379		3
380		5
381		2
382		8
383		3
384		7
385		2
386		5
387		4
388		3
389		4
390		2
391		4
392		4
393		6
394		4
395		6
396		6
397		6
398		4
399		9
400		5
401		7
402		7
403		6
404		5
405		4
406		6
407		5
408		5
409		6
410		5
411		7
412		6
413		3
414		9
415		7
416		3
417		6
418		2
419		1
420		1
421		7
422		5
423		10
424		4
425		4
426		4
427		11
428		1
429		7
430		4
431		4
432		2
433		5
434		5
435		4
436		9
437		4
438		5
439		5
440		7
441		9
442		7
443		4
444		3
445		9
446		4
447		4
448		7
449		0
450		3
451		3
452		4
453		6
454		2
455		6
456		1
457		9
458		3
459		4
460		7
461		2
462		4
463		2
464		1
465		10
